2025-11-17 10:07:52 | INFO | LoginPage | Launching HP Portal
2025-11-17 10:07:52 | INFO | LoginPage | Navigating to login page URL
2025-11-17 10:07:57 | INFO | LoginPage | Entering username
2025-11-17 10:07:57 | INFO | LoginPage | Entering username into input field
2025-11-17 11:01:53 | INFO | LoginPage | Launching HP Portal
2025-11-17 11:01:53 | INFO | LoginPage | Navigating to login page URL
2025-11-17 11:01:56 | INFO | LoginPage | Entering username
2025-11-17 11:01:56 | INFO | LoginPage | Entering username into input field
2025-11-17 11:01:56 | INFO | LoginPage | Enter password
2025-11-17 11:01:56 | INFO | LoginPage | Entering password into input field
2025-11-17 11:01:56 | INFO | LoginPage | Click Login button
2025-11-17 11:01:57 | INFO | LoginPage | Check if login was successful
2025-11-17 11:33:36 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 11:33:40 | INFO | LoginPage | Entering username into input field
2025-11-17 11:33:40 | INFO | LoginPage | Entering password into input field
2025-11-17 11:33:40 | INFO | LoginPage | Clicking Login button
2025-11-17 11:33:41 | INFO | LoginPage | Checking if login was successful
2025-11-17 13:21:06 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 13:21:10 | INFO | LoginPage | Entering username into input field
2025-11-17 13:21:10 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 13:21:10 | INFO | LoginPage | Entering password into input field
2025-11-17 13:21:10 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 13:21:10 | INFO | LoginPage | Clicking Login button
2025-11-17 13:21:10 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit']) - Attempt 1
2025-11-17 13:21:11 | INFO | LoginPage | Checking if login was successful
2025-11-17 13:22:38 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 13:22:41 | INFO | LoginPage | Entering username into input field
2025-11-17 13:22:41 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 13:22:41 | INFO | LoginPage | Entering password into input field
2025-11-17 13:22:41 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 13:22:41 | INFO | LoginPage | Clicking Login button
2025-11-17 13:22:41 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 14:29:25 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 14:29:28 | INFO | LoginPage | Entering username into input field
2025-11-17 14:29:28 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 14:29:28 | INFO | LoginPage | Entering password into input field
2025-11-17 14:29:28 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 14:29:29 | INFO | LoginPage | Clicking Login button
2025-11-17 14:29:29 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 15:09:09 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 15:26:35 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 15:26:39 | INFO | LoginPage | Entering username into input field
2025-11-17 15:26:39 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 15:26:40 | INFO | LoginPage | Entering password into input field
2025-11-17 15:26:40 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 15:26:40 | INFO | LoginPage | Clicking Login button
2025-11-17 15:26:40 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 15:28:00 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 15:28:06 | INFO | LoginPage | Entering username into input field
2025-11-17 15:28:06 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 15:28:06 | INFO | LoginPage | Entering password into input field
2025-11-17 15:28:06 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 15:28:06 | INFO | LoginPage | Clicking Login button
2025-11-17 15:28:06 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 15:32:02 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 15:32:06 | INFO | LoginPage | Entering username into input field
2025-11-17 15:32:06 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 15:32:07 | INFO | LoginPage | Entering password into input field
2025-11-17 15:32:07 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 15:32:07 | INFO | LoginPage | Clicking Login button
2025-11-17 15:32:07 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 15:37:51 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 15:37:55 | INFO | LoginPage | Entering username into input field
2025-11-17 15:37:55 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 15:37:55 | INFO | LoginPage | Entering password into input field
2025-11-17 15:37:55 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 15:37:55 | INFO | LoginPage | Clicking Login button
2025-11-17 15:37:55 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:05:08 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 16:05:11 | INFO | LoginPage | Entering username into input field
2025-11-17 16:05:11 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 16:05:12 | INFO | LoginPage | Entering password into input field
2025-11-17 16:05:12 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 16:05:12 | INFO | LoginPage | Clicking Login button
2025-11-17 16:05:12 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:10:05 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 16:10:06 | INFO | LoginPage | Entering username into input field
2025-11-17 16:10:06 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 16:10:09 | INFO | LoginPage | Entering password into input field
2025-11-17 16:10:09 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 16:10:09 | INFO | LoginPage | Clicking Login button
2025-11-17 16:10:09 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:18:27 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 16:18:30 | INFO | LoginPage | Entering username into input field
2025-11-17 16:18:30 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 16:18:30 | INFO | LoginPage | Entering password into input field
2025-11-17 16:18:30 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 16:18:31 | INFO | LoginPage | Clicking Login button
2025-11-17 16:18:31 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:18:41 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 1/3...
2025-11-17 16:18:41 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 2
2025-11-17 16:18:51 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 2/3...
2025-11-17 16:18:52 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 3
2025-11-17 16:19:02 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 3/3...
2025-11-17 16:19:02 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 4
2025-11-17 16:20:50 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 16:20:54 | INFO | LoginPage | Entering username into input field
2025-11-17 16:20:54 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 16:20:54 | INFO | LoginPage | Entering password into input field
2025-11-17 16:20:54 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 16:20:54 | INFO | LoginPage | Clicking Login button
2025-11-17 16:20:54 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:21:04 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 1/3...
2025-11-17 16:21:04 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 2
2025-11-17 16:21:15 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 2/3...
2025-11-17 16:21:15 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 3
2025-11-17 16:21:25 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 3/3...
2025-11-17 16:21:25 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 4
2025-11-17 16:52:56 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 16:53:00 | INFO | LoginPage | Entering username into input field
2025-11-17 16:53:00 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 16:53:00 | INFO | LoginPage | Entering password into input field
2025-11-17 16:53:00 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 16:53:00 | INFO | LoginPage | Clicking Login button
2025-11-17 16:53:00 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:53:10 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 1/3...
2025-11-17 16:53:10 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 2
2025-11-17 16:53:21 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 2/3...
2025-11-17 16:53:21 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 3
2025-11-17 16:53:31 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 3/3...
2025-11-17 16:53:32 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 4
2025-11-17 16:55:18 | INFO | LoginPage | Navigating to HP Portal Login URL
2025-11-17 16:55:21 | INFO | LoginPage | Entering username into input field
2025-11-17 16:55:21 | INFO | LoginPage | Entering 'student' into (id, username) - Attempt 1
2025-11-17 16:55:21 | INFO | LoginPage | Entering password into input field
2025-11-17 16:55:21 | INFO | LoginPage | Entering 'Password123' into (id, password) - Attempt 1
2025-11-17 16:55:22 | INFO | LoginPage | Clicking Login button
2025-11-17 16:55:22 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 1
2025-11-17 16:55:32 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 1/3...
2025-11-17 16:55:32 | INFO | LoginPage | Clicking element (xpath, //button[@id='submit2']) - Attempt 2
2025-11-17 16:55:42 | WARNING | LoginPage | Clicking element (xpath, //button[@id='submit2']) failed with TimeoutException. Retrying 2/3...
